OC * EG ; OAGA

OC * EH ; OAGD

OC * EN ; OAGG

OC * SO ; OAHO

OC * SA ; OAHC

OC * SB ; OAHS

OC * SC ; OAHN

OC * SD ; OANB

OC * SE ; OANE

OC * SS ; OANH

OC * SG ; OBOA

OC * SH ; OBOD

OC * SN ; OBOG

OC * GO ; OBAO

OC * GA ; OBAC

OC * GB ; OBAS

OC * GC ; OBAN

OC * GD ; OBBB

OC * GE ; OBBE

OC * GS ; OBBH

OC * GG ; OBCA

OC * GH ; OBCD

OC * GN ; OBCG

OC * HO ; OBDO

OC * HA ; OBDC

OC * HB ; OBDS

OC * HC ; OBDN

OC * HD ; OBEB

OC * HE ; OBEE

OC * HS ; OBEH

OC * HG ; OBSA

OC * HH ; OBSD

OC * HN ; OBSG

OC * NO ; OBGO

OC * NA ; OBGC

OC * NB ; OBGS

OC * NC ; OBGN

OC * ND ; OBHB

OC * NE ; OBHE

OC * NS ; OBHH

OC * NG ; OBNA

OC * NH ; OBND

OD * OA ; OOOD

OD * OB ; OOOH

OD * OC ; OOAB

OD * OD ; OOAS

OD * OE ; OOBO

OD * OS ; OOBD

OD * OG ; OOBH

OD * OH ; OOCB

OD * ON ; OOCS

OD * AO ; OODO

OD * AA ; OODD

OD * AB ; OODH

OD * AC ; OOEB

OD * AD ; OOES

OD * AE ; OOSO

OD * AS ; OOSD

OD * AG ; OOSH

OD * AH ; OOGB

OD * AN ; OOGS

OD * BO ; OOHO

OD * BA ; OOHD

OD * BB ; OOHH

OD * BC ; OONB

OD * BD ; OONS

OD * BE ; OAOO

OD * BS ; OAOD

OD * BG ; OAOH

OD * BH ; OAAB

OD * BN ; OAAS

OD * CO ; OABO

OD * CA ; OABD

OD * CB ; OABH

OD * CC ; OACB

OD * CD ; OACS

OD * CE ; OADO

OD * CS ; OADD

OD * CG ; OADH

OD * CH ; OAEB

OD * CN ; OAES

OD * DO ; OASO

OD * DA ; OASD

OD * DB ; OASH

OD * DC ; OAGB

OD * DD ; OAGS

OD * DE ; OAHO

OD * DS ; OAHD

OD * DG ; OAHH

OD * DH ; OANB

OD * DN ; OANS

OD * EO ; OBOO

OD * EA ; OBOD

OD * EB ; OBOH

OD * EC ; OBAB

OD * ED ; OBAS

OD * EE ; OBBO

OD * ES ; OBBD

OD * EG ; OBBH

OD * EH ; OBCB

OD * EN ; OBCS

OD * SO ; OBDO

OD * SA ; OBDD

OD * SB ; OBDH

OD * SC ; OBEB

OD * SD ; OBES

OD * SE ; OBSO

OD * SS ; OBSD

OD * SG ; OBSH

OD * SH ; OBGB

OD * SN ; OBGS

OD * GO ; OBHO

OD * GA ; OBHD

OD * GB ; OBHH

OD * GC ; OBNB

OD * GD ; OBNS

OD * GE ; OCOO

OD * GS ; OCOD

OD * GG ; OCOH

OD * GH ; OCAB

OD * GN ; OCAS

OD * HO ; OCBO

OD * HA ; OCBD

OD * HB ; OCBH

OD * HC ; OCCB

OD * HD ; OCCS

OD * HE ; OCDO

OD * HS ; OCDD

OD * HG ; OCDH

OD * HH ; OCEB

OD * HN ; OCES

OD * NO ; OCSO

OD * NA ; OCSD

OD * NB ; OCSH

OD * NC ; OCGB

OD * ND ; OCGS

OD * NE ; OCHO

OD * NS ; OCHD

OD * NG ; OCHH

OD * NH ; OCNB

OE * OA ; OOOE

OE * OB ; OOAO

OE * OC ; OOAE

OE * OD ; OOBO

OE * OE ; OOBE

OE * OS ; OOCO

OE * OG ; OOCE

OE * OH ; OODO

OE * ON ; OODE

OE * AO ; OOEO

OE * AA ; OOEE

OE * AB ; OOSO

OE * AC ; OOSE

OE * AD ; OOGO

OE * AE ; OOGE

OE * AS ; OOHO

OE * AG ; OOHE

OE * AH ; OONO

OE * AN ; OONE

OE * BO ; OAOO

OE * BA ; OAOE

OE * BB ; OAAO

OE * BC ; OAAE

OE * BD ; OABO

OE * BE ; OABE

OE * BS ; OACO

OE * BG ; OACE

OE * BH ; OADO

OE * BN ; OADE

OE * CO ; OAEO

OE * CA ; OAEE

OE * CB ; OASO

OE * CC ; OASE

OE * CD ; OAGO

OE * CE ; OAGE

OE * CS ; OAHO

OE * CG ; OAHE

OE * CH ; OANO

OE * CN ; OANE

OE * DO ; OBOO

OE * DA ; OBOE

OE * DB ; OBAO

OE * DC ; OBAE

OE * DD ; OBBO

OE * DE ; OBBE

OE * DS ; OBCO

OE * DG ; OBCE

OE * DH ; OBDO

OE * DN ; OBDE

OE * EO ; OBEO

OE * EA ; OBEE

OE * EB ; OBSO

OE * EC ; OBSE

OE * ED ; OBGO

OE * EE ; OBGE

OE * ES ; OBHO

OE * EG ; OBHE

OE * EH ; OBNO

OE * EN ; OBNE

OE * SO ; OCOO

OE * SA ; OCOE

OE * SB ; OCAO

OE * SC ; OCAE

OE * SD ; OCBO

OE * SE ; OCBE

OE * SS ; OCCO

OE * SG ; OCCE

OE * SH ; OCDO

OE * SN ; OCDE

OE * GO ; OCEO

OE * GA ; OCEE

OE * GB ; OCSO

OE * GC ; OCSE

OE * GD ; OCGO

OE * GE ; OCGE

OE * GS ; OCHO

OE * GG ; OCHE

OE * GH ; OCNO

OE * GN ; OCNE

OE * HO ; ODOO

OE * HA ; ODOE

OE * HB ; ODAO

OE * HC ; ODAE

OE * HD ; ODBO

OE * HE ; ODBE

OE * HS ; ODCO

OE * HG ; ODCE

OE * HH ; ODDO

OE * HN ; ODDE

OE * NO ; ODEO

OE * NA ; ODEE

OE * NB ; ODSO

OE * NC ; ODSE

OE * ND ; ODGO

OE * NE ; ODGE

OE * NS ; ODHO

OE * NG ; ODHE

OE * NH ; ODNO

OS * OA ; OOOS

OS * OB ; OOAB

OS * OC ; OOAH

OS * OD ; OOBD

OS * OE ; OOCO

OS * OS ; OOCS

OS * OG ; OODB

OS * OH ; OODH

OS * ON ; OOED

OS * AO ; OOSO

OS * AA ; OOSS

OS * AB ; OOGB

OS * AC ; OOGH

OS * AD ; OOHD

OS * AE ; OONO

OS * AS ; OONS

OS * AG ; OAOB

OS * AH ; OAOH

OS * AN ; OAAD

OS * BO ; OABO

OS * BA ; OABS

OS * BB ; OACB

OS * BC ; OACH

OS * BD ; OADD

OS * BE ; OAEO

OS * BS ; OAES

OS * BG ; OASB

OS * BH ; OASH

OS * BN ; OAGD

OS * CO ; OAHO

OS * CA ; OAHS

OS * CB ; OANB

OS * CC ; OANH

OS * CD ; OBOD

OS * CE ; OBAO

OS * CS ; OBAS

OS * CG ; OBBB

OS * CH ; OBBH

OS * CN ; OBCD

OS * DO ; OBDO

OS * DA ; OBDS

OS * DB ; OBEB

OS * DC ; OBEH

OS * DD ; OBSD

OS * DE ; OBGO

OS * DS ; OBGS

OS * DG ; OBHB

OS * DH ; OBHH

OS * DN ; OBND

OS * EO ; OCOO

OS * EA ; OCOS

OS * EB ; OCAB

OS * EC ; OCAH

OS * ED ; OCBD

OS * EE ; OCCO

OS * ES ; OCCS

OS * EG ; OCDB

OS * EH ; OCDH

OS * EN ; OCED

OS * SO ; OCSO

OS * SA ; OCSS

OS * SB ; OCGB

OS * SC ; OCGH

OS * SD ; OCHD

OS * SE ; OCNO

